Team;Rider
Wanty - Gobert Cycling Team;BACKAERT Frederik
Wanty - Gobert Cycling Team;DE GENDT Aimé
Wanty - Gobert Cycling Team;EIKING Odd Christian
Wanty - Gobert Cycling Team;MEURISSE Xandro
Wanty - Gobert Cycling Team;OFFREDO Yoann
Wanty - Gobert Cycling Team;PASQUALON Andrea
Wanty - Gobert Cycling Team;VAN MELSEN Kevin
Team Dimension Data;BOASSON HAGEN Edvald
Team Dimension Data;BAK Lars Ytting
Team Dimension Data;CUMMINGS Steve
Team Dimension Data;JANSE VAN RENSBURG Reinardt
Team Dimension Data;KING Ben
Team Dimension Data;KREUZIGER Roman
Team Dimension Data;NIZZOLO Giacomo
Team Dimension Data;VALGREN Michael
Team Arkéa Samsic;BARGUIL Warren
Team Arkéa Samsic;BOUET Maxime
Team Arkéa Samsic;DELAPLACE Anthony
Team Arkéa Samsic;GESBERT Élie
Team Arkéa Samsic;GREIPEL André
Team Arkéa Samsic;LEDANOIS Kévin
Team Arkéa Samsic;MOINARD Amaël
Team Arkéa Samsic;VACHON Florian
